name,address,website,phone_number,reviews_count,reviews_average
Doctors' Clinic | Dr. Umair Khurshid | Diabetologist | Medical Specialist | General Physician,"62-A, T and, near Raiwind Road, T & T Aabpara Housing Society, Lahore, 55150, Pakistan",doctorzclinic.business.site,+92 333 1742497,106,5.0
Marham Find a Doctor,"38 New, Babar Block Garden Town, Lahore, Punjab 54000, Pakistan",marham.pk,+92 311 1222398,4879,4.3
Dr. Samia Khan,"Dr. Samia Khan Chughtai Medical Center:, 194, Sector DD Dha Phase 4, Lahore, Punjab, Pakistan",,+92 332 1492200,1,5.0
Dr Mursleen Clinic,"Colony Road, Walton Rd, near bhola chowk, Qadri Colony, Lahore, Punjab 54000, Pakistan",business.site,+92 332 3513316,22,4.9
Dr. Atiq Ur Rehman,"7, Block M Phase 2 Johar Town, Lahore, Punjab 54000, Pakistan",allpatient.pk,+92 311 6712017,20,4.8
Online Doctor consultation and home visits Lahore,"Ground Floor Building # 10 Block F2, Wapda Wapda Town Phase 1 Town, Lahore, 54000, Pakistan",marham.pk,+92 320 6839971,,
Family MediCare Clinic,"658, Block C Jubilee Town, Lahore, Punjab, Pakistan",,+92 346 5575840,,
Dr. Saud Awan,"F895+MVQ, Block D Faisal Town, Lahore, Punjab 54770, Pakistan",,,,
Dr Ahmad Nadeem,"13 Shah Jamal Rd, Fazlia Colony, Lahore, Punjab 54000, Pakistan",,,3,5.0
Cheema Clinic,"40, Civic Centre (Barkat Market, Commercial Area New Garden Town, Lahore, Punjab, Pakistan",,+92 333 4155265,8,5.0
Prof. Dr. Talat Naheed,"1 Main Boulevard Allama Iqbal Town, Chenab Block Allama Iqbal Town, Lahore, Punjab 54570, Pakistan",business.site,+92 333 4276667,20,4.2
Doctors Hospital & Medical Center,"152-G/1، Canal Bank Road, Johar Town, Block G 1 Phase 1 Johar Town, Lahore, Punjab 54590, Pakistan",doctorshospital.com.pk,+92 42 35302701,679,2.9
Anwar Clinic (Dr Col (R) M Anwar Qureshi ),"GCX4+4GH, Al-Faisal Town, Lahore, Punjab, Pakistan",,+92 320 0449329,,
Alara Healthcare Clinic,"Ground Floor, Building # 10, Block F2 Wapda Town Phase 1 Lahore, Pakistan",alarahealthcare.com,+92 300 3777891,103,4.9
Dr. Nisar Ali Khan (General Physician & Skin Specialist),"167 College Road, Sector B-1 Block 15 Sector B 1 Lahore, Punjab 54770, Pakistan",,+92 42 35123546,9,4.1
Dr Aamir Ali,"Shahrah-e-Quaid-e-Azam, Mozang Chungi, Lahore, Punjab 56300, Pakistan",,+92 300 8576133,,
Dr Jawad Zaheer Clinic,"27-A Commercial Area, Sui Gas Main Boulevard, Sui Gas Society Phase 1 Lahore, 54000, Pakistan",,+92 42 35701771,25,4.3
"NGP Clinic| Your Family doctor | Reverse Diabetes Centre |Health Care Centre | Doctor Home Service , Lahore Pakistan","5 C, Canal Park Gulberg 2, Lahore, Punjab 54000, Pakistan",ngpclinics.com,+92 311 1188810,11,4.6
Dr Imran Jawad,"G9WM+V6G, Bangali Mohalla, Lahore, Punjab, Pakistan",,,5,4.6
Family Clinic,"F9MV+X5J, Sector F Commercial Area Phase 1 Dha Phase 1, Lahore, Punjab 54792, Pakistan",,+92 42 35897071,,
"NGP Clinic| Your Family doctor | Reverse Diabetes Centre |Health Care Centre | Doctor Home Service , Lahore Pakistan","Shaykh Abdul Qadir Jilani Rd, Sant Nagar Data Gunj Buksh Town, Lahore, Punjab 54000, Pakistan",,+92 311 1188801,3,3.7
Shahid Medical Center,"313, Block J Johar Town, Lahore, Punjab, Pakistan",,+92 300 4694597,,
